Sample #, X Value, Y Value (Probability)
1, 8.02781, 0.00285836
2, 4.6887, 0.0919705
3, 1.87396, 0.196838
4, 1.87396, 0.196838
5, 1.87396, 0.196838
6, -0.398998, 0.0857401
7, 1.16103, 0.174293
8, 1.16103, 0.174293
9, 1.23716, 0.177645
10, 1.1816, 0.175217
11, -3.30863, 0.00449308
12, -1.97899, 0.0224812
13, -1.97899, 0.0224812
14, -1.97899, 0.0224812
15, -2.22393, 0.0172752
16, -2.22393, 0.0172752
17, -2.22393, 0.0172752
18, -0.381537, 0.0867151
19, 1.25513, 0.178408
20, 2.04861, 0.198901
21, 2.05209, 0.198926
22, 3.62937, 0.154513
23, 3.62937, 0.154513
24, 3.62937, 0.154513
25, 3.62937, 0.154513
26, 3.62937, 0.154513
27, 3.62937, 0.154513
28, 3.62937, 0.154513
29, 4.14191, 0.124498
30, 4.90234, 0.0800653
31, 4.90234, 0.0800653
32, 4.90234, 0.0800653
33, 4.90234, 0.0800653
34, 4.90234, 0.0800653
35, 4.91005, 0.0796487
36, 4.91005, 0.0796487
37, 4.3415, 0.11244
38, 4.3415, 0.11244
39, 4.3415, 0.11244
40, 1.74448, 0.194364
41, 1.74448, 0.194364
42, 1.63062, 0.191549
43, 1.63062, 0.191549
44, 1.63062, 0.191549
45, 1.63062, 0.191549
46, -1.63097, 0.0318529
47, -1.63097, 0.0318529
48, -1.63097, 0.0318529
49, 1.29891, 0.180219
50, 1.46324, 0.186385
51, 1.40534, 0.184331
52, 1.40534, 0.184331
53, 1.88762, 0.197053
54, 1.88762, 0.197053
55, 2.8782, 0.188326
56, 1.31797, 0.180987
57, 4.98553, 0.0756241
58, 4.98553, 0.0756241
59, 4.98553, 0.0756241
60, 3.0189, 0.183432
61, 6.59923, 0.0177524
62, 4.39018, 0.109515
63, 3.21148, 0.175525
64, 3.21148, 0.175525
65, 3.0976, 0.180361
66, 4.12723, 0.125385
67, 4.32478, 0.113447
68, 4.32478, 0.113447
69, 1.72128, 0.193838
70, 0.217901, 0.122068
71, 0.217901, 0.122068
72, 1.20298, 0.176164
73, 1.96261, 0.198071
74, 1.96261, 0.198071
75, -1.78771, 0.0273287
76, -1.78771, 0.0273287
77, -1.78771, 0.0273287
78, -0.622395, 0.0736947
79, -0.622395, 0.0736947
80, -0.622395, 0.0736947
81, 0.756957, 0.153757
82, 0.756957, 0.153757
83, 0.756957, 0.153757
84, 0.756957, 0.153757
85, -1.09365, 0.051401
86, -1.09365, 0.051401
87, 2.3343, 0.199022
88, 2.09153, 0.199178
89, 3.2981, 0.171562
90, 3.2981, 0.171562
91, 5.40501, 0.0552382
92, 5.40501, 0.0552382
93, 5.40501, 0.0552382
94, 7.59007, 0.00528072
95, 6.84482, 0.0134486
96, 6.84482, 0.0134486
97, 6.84482, 0.0134486
98, 7.86139, 0.00363008
99, 9.4336, 0.000287953
100, 12.8472, 1.39885e-07
101, 12.8472, 1.39885e-07
102, 12.5529, 3.0288e-07
103, 12.5529, 3.0288e-07
104, 12.5529, 3.0288e-07
105, 12.5529, 3.0288e-07
106, 12.5529, 3.0288e-07
107, 12.5529, 3.0288e-07
108, 12.5529, 3.0288e-07
109, 12.5529, 3.0288e-07
110, 12.5529, 3.0288e-07
111, 12.2537, 6.49696e-07
112, 12.2537, 6.49696e-07
113, 13.7664, 1.08954e-08
114, 12.0349, 1.11942e-06
115, 13.5417, 2.07373e-08
116, 13.5417, 2.07373e-08
117, 13.5417, 2.07373e-08
118, 13.7419, 1.16968e-08
119, 13.7419, 1.16968e-08
120, 15, 2.54407e-10
121, 15, 2.54407e-10
122, 15, 2.54407e-10
123, 15, 2.54407e-10
124, 15, 2.54407e-10
125, 14.5036, 1.20789e-09
126, 14.5036, 1.20789e-09
127, 15, 2.54407e-10
128, 15, 2.54407e-10
129, 15, 2.54407e-10
130, 15, 2.54407e-10
131, 15, 2.54407e-10
132, 15, 2.54407e-10
133, 13.3826, 3.24569e-08
134, 13.4572, 2.63264e-08
135, 14.3473, 1.9477e-09
136, 14.1489, 3.5403e-09
137, 15, 2.54407e-10
138, 14.7447, 5.71219e-10
139, 14.7447, 5.71219e-10
140, 14.7447, 5.71219e-10
141, 14.7447, 5.71219e-10
142, 14.7447, 5.71219e-10
143, 12.5442, 3.0976e-07
144, 12.5442, 3.0976e-07
145, 12.5442, 3.0976e-07
146, 12.5442, 3.0976e-07
147, 12.522, 3.28064e-07
148, 12.522, 3.28064e-07
149, 10.4795, 3.78865e-05
150, 10.4795, 3.78865e-05
151, 10.4795, 3.78865e-05
152, 11.9815, 1.27591e-06
153, 11.9815, 1.27591e-06
154, 11.9815, 1.27591e-06
155, 12.3551, 5.0286e-07
156, 12.3551, 5.0286e-07
157, 14.51, 1.18433e-09
158, 13.5163, 2.22842e-08
159, 13.5163, 2.22842e-08
160, 12.973, 9.98798e-08
161, 13.114, 6.81622e-08
162, 13.8447, 8.68315e-09
163, 11.4157, 4.89063e-06
164, 11.4157, 4.89063e-06
165, 11.4157, 4.89063e-06
166, 8.62355, 0.00114789
167, 9.77469, 0.000153153
168, 9.77469, 0.000153153
169, 14.8056, 4.7164e-10
170, 14.8393, 4.24121e-10
171, 13.513, 2.2491e-08
172, 13.513, 2.2491e-08
173, 13.513, 2.2491e-08
174, 13.513, 2.2491e-08
175, 13.513, 2.2491e-08
176, 13.513, 2.2491e-08
177, 12.5974, 2.69896e-07
178, 13.7245, 1.22994e-08
179, 11.7946, 2.00654e-06
180, 11.7946, 2.00654e-06
181, 13.6833, 1.38457e-08
182, 13.6833, 1.38457e-08
183, 12.7954, 1.60497e-07
