Sample #, X Value, Y Value (Probability)
1, -10.8024, 1.32423e-10
2, -13.5889, 5.84439e-15
3, -11.5042, 1.27237e-11
4, -11.5042, 1.27237e-11
5, -11.5042, 1.27237e-11
6, -11.5042, 1.27237e-11
7, -9.3346, 1.19451e-08
8, -10.1199, 1.14885e-09
9, -12.3602, 6.18117e-13
10, -12.3602, 6.18117e-13
11, -8.29491, 2.09197e-07
12, -8.29491, 2.09197e-07
13, -8.29491, 2.09197e-07
14, -10.3553, 5.52572e-10
15, -8.38368, 1.6557e-07
16, -8.38368, 1.6557e-07
17, -8.38368, 1.6557e-07
18, -8.38368, 1.6557e-07
19, -9.61675, 5.2422e-09
20, -9.61675, 5.2422e-09
21, -7.34177, 2.27678e-06
22, -7.34177, 2.27678e-06
23, -7.34177, 2.27678e-06
24, -9.54259, 6.52171e-09
25, -9.54259, 6.52171e-09
26, -7.66096, 1.04981e-06
27, -7.66096, 1.04981e-06
28, -7.66096, 1.04981e-06
29, -7.66096, 1.04981e-06
30, -7.41835, 1.89526e-06
31, -7.41835, 1.89526e-06
32, -9.06288, 2.59099e-08
33, -10.0065, 1.62629e-09
34, -7.88365, 6.02561e-07
35, -7.88365, 6.02561e-07
36, -5.40143, 0.000145576
37, -5.666, 8.7286e-05
38, -2.93657, 0.00737158
39, -4.53931, 0.000682754
40, -4.87629, 0.000381531
41, -4.87629, 0.000381531
42, -4.87629, 0.000381531
43, -6.09064, 3.70249e-05
44, -6.09064, 3.70249e-05
45, -6.93461, 5.89012e-06
46, -6.93596, 5.872e-06
47, -6.93596, 5.872e-06
48, -7.03081, 4.72297e-06
49, -7.03081, 4.72297e-06
50, -7.03081, 4.72297e-06
51, -7.36237, 2.16746e-06
52, -6.86329, 6.92768e-06
53, -6.40101, 1.92257e-05
54, -8.92513, 3.80964e-08
55, -8.92513, 3.80964e-08
56, -8.92513, 3.80964e-08
57, -7.69572, 9.63457e-07
58, -5.09054, 0.000259675
59, -5.09054, 0.000259675
60, -5.09054, 0.000259675
61, -4.65192, 0.000563868
62, -6.5779, 1.30919e-05
63, -6.5779, 1.30919e-05
64, -4.69835, 0.000520618
65, -5.27637, 0.000184272
66, -6.78164, 8.32856e-06
67, -8.16704, 2.91994e-07
68, -9.46754, 8.12327e-09
69, -9.46754, 8.12327e-09
70, -8.38337, 1.65704e-07
71, -12.7208, 1.63669e-13
72, -13.252, 2.17857e-14
73, -13.252, 2.17857e-14
74, -13.252, 2.17857e-14
75, -13.4646, 9.52862e-15
76, -13.4646, 9.52862e-15
77, -13.4124, 1.16842e-14
78, -13.4124, 1.16842e-14
79, -13.4124, 1.16842e-14
80, -13.4124, 1.16842e-14
81, -13.4124, 1.16842e-14
82, -10.3026, 6.5171e-10
83, -12.464, 4.23132e-13
84, -12.464, 4.23132e-13
85, -10.7463, 1.58856e-10
86, -10.7463, 1.58856e-10
87, -10.0286, 1.52004e-09
88, -12.0566, 1.84513e-12
89, -12.0566, 1.84513e-12
90, -11.9798, 2.42464e-12
91, -14.0151, 1.06228e-15
92, -14.0151, 1.06228e-15
93, -14.0151, 1.06228e-15
94, -14.0151, 1.06228e-15
95, -14.0151, 1.06228e-15
96, -15, 1.73648e-17
97, -15, 1.73648e-17
98, -15, 1.73648e-17
99, -15, 1.73648e-17
100, -15, 1.73648e-17
101, -15, 1.73648e-17
102, -15, 1.73648e-17
103, -15, 1.73648e-17
104, -15, 1.73648e-17
105, -15, 1.73648e-17
106, -13.0614, 4.52883e-14
107, -15, 1.73648e-17
108, -15, 1.73648e-17
109, -15, 1.73648e-17
110, -15, 1.73648e-17
111, -11.9838, 2.39041e-12
112, -11.9838, 2.39041e-12
113, -11.9838, 2.39041e-12
114, -12.0668, 1.77935e-12
115, -13.0795, 4.22626e-14
116, -8.63972, 8.34069e-08
